tab_id	word	niu	yunbu	she	hu	deng	tone	chong	fanqie	flag	expl	ipa	jp	bwipa	bwjp
63	中	知	東	通	開	三	平	O	陟弓	2	平也成也宜也堪也任也和也半也又姓漢少府鄉中京出風俗通又漢複姓有七氏漢有諫議大夫中行彪晉中行偃之後虞有五英之樂掌中英者因以爲氏古有隱者中梁子漢書藝文志有室中周著書十篇賈執英賢傳云路中大夫之後以路中爲氏張	tʃʊŋ55	zung1	tʃœŋ53	zoeng1
64	衷	知	東	通	開	三	平	O	陟弓	2	善也正也適也中也又衷衣褻衣也	tʃʊŋ55	zung1	tʃœŋ53	zoeng1
65	忠	知	東	通	開	三	平	O	陟弓	1	無私也敬也直也厚也亦州名本漢臨江縣屬巴郡後魏置臨州貞觀爲忠州	tʃʊŋ55	zung1	tʃœŋ53	zoeng1
66	𦬕	知	東	通	開	三	平	O	陟弓	2	草名又音沖	tʃʊŋ55	zung1	tʃœŋ53	zoeng1
67	蟲	澄	東	通	開	三	平	O	直弓	2	爾雅曰有足曰蟲無足曰豸又姓漢功臣表有曲成侯蟲達直弓切七	tʃʰʊŋ21	cung4	tʃœŋ21	zoeng4
68	沖	澄	東	通	開	三	平	O	直弓	1	和也深也	tʃʰʊŋ21	cung4	tʃœŋ21	zoeng4
69	种	澄	東	通	開	三	平	O	直弓	1	稚也或作沖亦姓後漢司徒河南种暠	tʃʰʊŋ21	cung4	tʃœŋ21	zoeng4
70	盅	澄	東	通	開	三	平	O	直弓	2	器虛也又敕中切	tʃʰʊŋ21	cung4	tʃœŋ21	zoeng4
71	爞	澄	東	通	開	三	平	O	直弓	2	爾雅云爞爞炎炎熏也	tʃʰʊŋ21	cung4	tʃœŋ21	zoeng4
72	𦬕	澄	東	通	開	三	平	O	直弓	2	草名又音中	tʃʰʊŋ21	cung4	tʃœŋ21	zoeng4
73	翀	澄	東	通	開	三	平	O	直弓	1	直上飛也	tʃʰʊŋ21	cung4	tʃœŋ21	zoeng4
74	終	章	東	通	開	三	平	O	職戎	1	極也窮也竟也又姓漢有濟南終軍又漢複姓二氏東觀漢記有終利恭何氏姓苑云今下邳人也左傳殷人七族有終葵氏職戎切十五	tʃʊŋ55	zung1	tʃœŋ53	zoeng1
75	眾	章	東	通	開	三	平	O	職戎	2	又之仲切	tʃʊŋ55	zung1	tʃœŋ53	zoeng1
76	潀	章	東	通	開	三	平	O	職戎	3	小水入大水又徂紅在冬二切	tʃʊŋ55	zung1	tʃœŋ53	zoeng1
77	𣧩	章	東	通	開	三	平	O	職戎	1	歿也	tʃʊŋ55	zung1	tʃœŋ53	zoeng1
78	螽	章	東	通	開	三	平	O	職戎	1	螽斯蟲也	tʃʊŋ55	zung1	tʃœŋ53	zoeng1
79	𧑄	章	東	通	開	三	平	O	職戎	1	上同（螽斯蟲也）	tʃʊŋ55	zung1	tʃœŋ53	zoeng1
80	鼨	章	東	通	開	三	平	O	職戎	1	豹文鼠也	tʃʊŋ55	zung1	tʃœŋ53	zoeng1
81	蔠	章	東	通	開	三	平	O	職戎	1	蔠葵蘩露也	tʃʊŋ55	zung1	tʃœŋ53	zoeng1
82	柊	章	東	通	開	三	平	O	職戎	1	木名又齊人謂椎爲柊楑也	tʃʊŋ55	zung1	tʃœŋ53	zoeng1
83	𩅧	章	東	通	開	三	平	O	職戎	1	小雨	tʃʊŋ55	zung1	tʃœŋ53	zoeng1
84	䶱	章	東	通	開	三	平	O	職戎	2	字書云龜名也	tʃʊŋ55	zung1	tʃœŋ53	zoeng1
85	鴤	章	東	通	開	三	平	O	職戎	2	鳥名	tʃʊŋ55	zung1	tʃœŋ53	zoeng1
86	䈺	章	東	通	開	三	平	O	職戎	1	篋䈺戎人呼之	tʃʊŋ55	zung1	tʃœŋ53	zoeng1
87	泈	章	東	通	開	三	平	O	職戎	1	水名在襄陽	tʃʊŋ55	zung1	tʃœŋ53	zoeng1
88	䝦	章	東	通	開	三	平	O	職戎	1	獸如豹	tʃʊŋ55	zung1	tʃœŋ53	zoeng1
89	忡	徹	東	通	開	三	平	O	敕中	1	憂也敕中切三	tʃʰʊŋ55	cung1	tʃʰœŋ53	coeng1
90	浺	徹	東	通	開	三	平	O	敕中	1	浺瀜水平遠之皃又音蟲	tʃʰʊŋ55	cung1	tʃʰœŋ53	coeng1
91	盅	徹	東	通	開	三	平	O	敕中	2	器虛也又音蟲	tʃʰʊŋ55	cung1	tʃʰœŋ53	coeng1
92	崇	崇	東	通	開	三	平	O	鋤弓	1	高也敬也就也聚也又姓鋤弓切四	tʃʰʊŋ21	cung4	tʃœŋ21	zoeng4
93	崈	崇	東	通	開	三	平	O	鋤弓	1	上同（高也敬也就也聚也又姓鋤弓切四）	tʃʰʊŋ21	cung4	tʃœŋ21	zoeng4
94	㓽	崇	東	通	開	三	平	O	鋤弓	2	鍤屬	tʃʰʊŋ21	cung4	tʃœŋ21	zoeng4
95	𩞉	崇	東	通	開	三	平	O	鋤弓	1	饞𩞉貪食也出古今字音	tʃʰʊŋ21	cung4	tʃœŋ21	zoeng4
96	嵩	心	東	通	開	三	平	O	息弓	1	山高也又山名又姓史記有嵩極玄子或作崧息弓切九	ɬʊŋ55	slung1	ɬœŋ53	sloeng1
97	崧	心	東	通	開	三	平	O	息弓	1	上同（山高也又山名又姓史記有嵩極玄子或作崧息弓切九）	ɬʊŋ55	slung1	ɬœŋ53	sloeng1
98	𪀚	心	東	通	開	三	平	O	息弓	1	似鷹而小能捕雀也	ɬʊŋ55	slung1	ɬœŋ53	sloeng1
99	娀	心	東	通	開	三	平	O	息弓	1	有娀氏女簡狄帝嚳次妃吞乙卵生契	ɬʊŋ55	slung1	ɬœŋ53	sloeng1
100	菘	心	東	通	開	三	平	O	息弓	1	菜名	ɬʊŋ55	slung1	ɬœŋ53	sloeng1
101	硹	心	東	通	開	三	平	O	息弓	1	地名在遼	ɬʊŋ55	slung1	ɬœŋ53	sloeng1
102	㣝	心	東	通	開	三	平	O	息弓	1	姓也	ɬʊŋ55	slung1	ɬœŋ53	sloeng1
103	𧊕	心	東	通	開	三	平	O	息弓	1	蟲名	ɬʊŋ55	slung1	ɬœŋ53	sloeng1
104	䯷	心	東	通	開	三	平	O	息弓	1	細毛	ɬʊŋ55	slung1	ɬœŋ53	sloeng1
105	戎	日	東	通	開	三	平	O	如融	1	戎狄亦助也說文作𢦦兵也又姓漢宣帝戎婕妤生中山哀王竟如融切九	jʊŋ21	jung4		njoeng4
106	𢦦	日	東	通	開	三	平	O	如融	1	上同（戎狄亦助也說文作𢦦兵也又姓漢宣帝戎婕妤生中山哀王竟如融切九）	jʊŋ21	jung4		njoeng4
107	茙	日	東	通	開	三	平	O	如融	1	茙葵蜀葵也又虜姓後魏書官氏志云南方有茙眷氏改爲茙氏也	jʊŋ21	jung4		njoeng4
108	㭜	日	東	通	開	三	平	O	如融	1	木名	jʊŋ21	jung4		njoeng4
109	駥	日	東	通	開	三	平	O	如融	1	馬八尺也	jʊŋ21	jung4		njoeng4
110	𥬪	日	東	通	開	三	平	O	如融	1	小竹可爲矢	jʊŋ21	jung4		njoeng4
111	𠈋	日	東	通	開	三	平	O	如融	1	𠈋人身有三角也	jʊŋ21	jung4		njoeng4
112	狨	日	東	通	開	三	平	O	如融	1	細布	jʊŋ21	jung4		njoeng4
113	絨	日	東	通	開	三	平	O	如融	1	上同（細布）	jʊŋ21	jung4		njoeng4
114	弓	見	東	通	開	三	平	O	居戎	1	弓矢釋名曰弓穹也張之穹穹然也其末曰簫又謂之弭以骨爲之滑弭弭也中央田弣弣撫也人所撫持也簫弣之聞曰淵淵宛也言曲宛然也世本曰黃帝臣揮作弓墨子曰羿作弓孫子曰倕作弓又姓魯大夫叔弓之後居戎切六	kʊŋ55	gung1	kœŋ53	goeng1
115	躳	見	東	通	開	三	平	O	居戎	1	身也親也又姓出姓苑	kʊŋ55	gung1	kœŋ53	goeng1
116	躬	見	東	通	開	三	平	O	居戎	1	上同（身也親也又姓出姓苑）	kʊŋ55	gung1	kœŋ53	goeng1
117	㴦	見	東	通	開	三	平	O	居戎	1	縣名在酒泉	kʊŋ55	gung1	kœŋ53	goeng1
118	宮	見	東	通	開	三	平	O	居戎	1	白虎通曰黃帝作宮室以避寒暑宮之言中也世本曰禹作宮亦官名漢書曰少府官有守宮令主御筆墨紙封書泥也又姓左傳虞有宮之奇	kʊŋ55	gung1	kœŋ53	goeng1
119	匑	見	東	通	開	三	平	O	居戎	2	謹敬之皃又音穹	kʊŋ55	gung1	kœŋ53	goeng1
120	融	以	東	通	開	三	平	O	以戎	1	和也朗也說文曰炊气上出也又姓世本云古天子祝融之後以戎切四	jʊŋ21	jung4	jœŋ21	joeng4
121	肜	以	東	通	開	三	平	O	以戎	1	祭名又敕林切	jʊŋ21	jung4	jœŋ21	joeng4
122	瀜	以	東	通	開	三	平	O	以戎	1	沖瀜大水皃	jʊŋ21	jung4	jœŋ21	joeng4
123	雄	云	東	通	開	三	平	O	羽弓	1	雄雌也亦姓舜友有雄陶羽弓切二	jʊŋ21	jung4	jœŋ21	joeng4
124	熊	云	東	通	開	三	平	O	羽弓	1	獸名似豕魏略曰大秦之國出玄熊亦姓左傳賢者熊宜僚又漢複姓左傳楚大夫熊率且比	jʊŋ21	jung4	jœŋ21	joeng4
125	瞢	明	東	通	合	三	平	O	莫中	3	目不明莫中切六	mʊŋ21	mung4	mœŋ21	moeng4
126	夢	明	東	通	合	三	平	O	莫中	2	說文曰不明也又武仲切	mʊŋ21	mung4	mœŋ21	moeng4
127	鄸	明	東	通	合	三	平	O	莫中	2	邑名在曹郡	mʊŋ21	mung4	mœŋ21	moeng4
128	懜	明	東	通	合	三	平	O	莫中	3	慙也國語云君使臣懜	mʊŋ21	mung4	mœŋ21	moeng4
129	𦫰	明	東	通	合	三	平	O	莫中	1	𦫰𦫰醜皃	mʊŋ21	mung4	mœŋ21	moeng4
130	𧲎	明	東	通	合	三	平	O	莫中	1	獸似豕目在耳出崐崘	mʊŋ21	mung4	mœŋ21	moeng4
131	穹	溪	東	通	開	三	平	O	去宮	1	高也去宮切七	hʊŋ55	hung1	hœŋ53	hoeng1
132	𢞏	溪	東	通	開	三	平	O	去宮	1	憂也	hʊŋ55	hung1	hœŋ53	hoeng1
133	焪	溪	東	通	開	三	平	O	去宮	2	乾也	hʊŋ55	hung1	hœŋ53	hoeng1
134	芎	溪	東	通	開	三	平	O	去宮	1	芎藭香草根曰芎藭苗曰蘪蕪似蛇牀	hʊŋ55	hung1	hœŋ53	hoeng1
135	𦵡	溪	東	通	開	三	平	O	去宮	1	上同（芎藭香草根曰芎藭苗曰蘪蕪似蛇牀）	hʊŋ55	hung1	hœŋ53	hoeng1
136	匑	溪	東	通	開	三	平	O	去宮	2	謹敬之皃	hʊŋ55	hung1	hœŋ53	hoeng1
137	𥳎	溪	東	通	開	三	平	O	去宮	3	𥳎籠也又去龍切	hʊŋ55	hung1	hœŋ53	hoeng1
138	窮	群	東	通	開	三	平	O	渠弓	1	窮極也又窮奇獸名聞人鬬乃助不直者渠弓切三	kʰʊŋ21	kung4	kœŋ21	goeng4
139	藭	群	東	通	開	三	平	O	渠弓	1	芎藭	kʰʊŋ21	kung4	kœŋ21	goeng4
140	𥨪	群	東	通	開	三	平	O	渠弓	1	羿所封國	kʰʊŋ21	kung4	kœŋ21	goeng4
141	馮	並	東	通	合	三	平	O	房戎	2	馮翊郡名又姓畢公高之伸食采於馮城因而命氏出杜陵乃長樂房戎切七	fʊŋ21	fung4	fœŋ21	foeng4
142	堸	並	東	通	合	三	平	O	房戎	1	蟲室	fʊŋ21	fung4	fœŋ21	foeng4
143	汎	並	東	通	合	三	平	O	房戎	2	浮也又孚劒切	fʊŋ21	fung4	fœŋ21	foeng4
144	芃	並	東	通	合	三	平	O	房戎	2	草盛也又音蓬	fʊŋ21	fung4	fœŋ21	foeng4
145	𨝭	並	東	通	合	三	平	O	房戎	1	姬姓之國	fʊŋ21	fung4	fœŋ21	foeng4
146	渢	並	東	通	合	三	平	O	房戎	1	弘大聲也	fʊŋ21	fung4	fœŋ21	foeng4
147	梵	並	東	通	合	三	平	O	房戎	2	木得風皃又防泛切	fʊŋ21	fung4	fœŋ21	foeng4
148	風	幫	東	通	合	三	平	O	方戎	2	教也佚也告也聲也河圖曰風者天地之使元命包曰陰陽怒而爲風方戎切七	fʊŋ55	fung1	fœŋ53	foeng1
149	飌	幫	東	通	合	三	平	O	方戎	1	古文（教也佚也告也聲也河圖曰風者天地之使元命包曰陰陽怒而爲風方戎切七）	fʊŋ55	fung1	fœŋ53	foeng1
150	楓	幫	東	通	合	三	平	O	方戎	1	木名子可爲式爾雅云楓有脂而香孫炎云欇欇生江上有奇生枝高三四尺生毛一名楓子天旱以泥泥之即雨山海經曰黃帝殺蚩尤棄其桎梏變爲楓木脂入地千年化爲虎魄	fʊŋ55	fung1	fœŋ53	foeng1
151	猦	幫	東	通	合	三	平	O	方戎	1	猦母狀如猿逢人則叩頭小打便死得風還活出異物志	fʊŋ55	fung1	fœŋ53	foeng1
152	偑	幫	東	通	合	三	平	O	方戎	1	地名	fʊŋ55	fung1	fœŋ53	foeng1
153	檒	幫	東	通	合	三	平	O	方戎	1	檒梵聲也	fʊŋ55	fung1	fœŋ53	foeng1
154	𧆉	幫	東	通	合	三	平	O	方戎	1	竹名出南海	fʊŋ55	fung1	fœŋ53	foeng1
155	豐	滂	東	通	合	三	平	O	敷空	1	大也多也茂也盛也又酒器豆屬又姓鄭公子豐之後敷空切八	fʊŋ55	fung1	fœŋ53	foeng1
156	酆	滂	東	通	合	三	平	O	敷空	1	邑名亦姓左傳有狄相酆舒	fʊŋ55	fung1	fœŋ53	foeng1
157	蘴	滂	東	通	合	三	平	O	敷空	2	蕪菁苗也	fʊŋ55	fung1	fœŋ53	foeng1
158	灃	滂	東	通	合	三	平	O	敷空	1	水名在咸陽	fʊŋ55	fung1	fœŋ53	foeng1
159	寷	滂	東	通	合	三	平	O	敷空	1	大屋	fʊŋ55	fung1	fœŋ53	foeng1
160	麷	滂	東	通	合	三	平	O	敷空	2	煑麥	fʊŋ55	fung1	fœŋ53	foeng1
161	㒥	滂	東	通	合	三	平	O	敷空	1	偓㒥仙人	fʊŋ55	fung1	fœŋ53	foeng1
162	㠦	滂	東	通	合	三	平	O	敷空	1	山名	fʊŋ55	fung1	fœŋ53	foeng1
163	充	昌	東	通	開	三	平	O	昌終	1	美也塞也行也滿也昌終切七	tʃʰʊŋ55	cung1	tʃʰœŋ53	coeng1
164	珫	昌	東	通	開	三	平	O	昌終	1	珫耳玉名詩傳云充耳謂之瑱字俗從玉	tʃʰʊŋ55	cung1	tʃʰœŋ53	coeng1
165	茺	昌	東	通	開	三	平	O	昌終	1	茺蔚草也	tʃʰʊŋ55	cung1	tʃʰœŋ53	coeng1
166	㤝	昌	東	通	開	三	平	O	昌終	1	心動	tʃʰʊŋ55	cung1	tʃʰœŋ53	coeng1
167	䘪	昌	東	通	開	三	平	O	昌終	1	䘪襌衣也	tʃʰʊŋ55	cung1	tʃʰœŋ53	coeng1
168	𪎽	昌	東	通	開	三	平	O	昌終	2	黃色又音統	tʃʰʊŋ55	cung1	tʃʰœŋ53	coeng1
169	㳘	昌	東	通	開	三	平	O	昌終	1	水聲	tʃʰʊŋ55	cung1	tʃʰœŋ53	coeng1
170	隆	來	東	通	開	三	平	O	力中	1	盛也豐也大也力中切六	lʊŋ21	lung4	lœŋ21	loeng4
171	癃	來	東	通	開	三	平	O	力中	1	病也亦作𤸇	lʊŋ21	lung4	lœŋ21	loeng4
172	𪔳	來	東	通	開	三	平	O	力中	1	鼓聲俗作𪔴	lʊŋ21	lung4	lœŋ21	loeng4
173	窿	來	東	通	開	三	平	O	力中	1	穹隆天勢俗加穴	lʊŋ21	lung4	lœŋ21	loeng4
174	霳	來	東	通	開	三	平	O	力中	1	豐隆雷師俗加雨	lʊŋ21	lung4	lœŋ21	loeng4
175	㚅	來	東	通	開	三	平	O	力中	1	多㚅礼天	lʊŋ21	lung4	lœŋ21	loeng4
176	空	溪	東	通	開	一	平	O	苦紅	2	空虛書曰伯禹作司空又漢複姓有空桐空相二氏苦紅切十四	hʊŋ55	hung1	hœŋ53	hoeng1
177	箜	溪	東	通	開	一	平	O	苦紅	1	箜篌樂器釋名云師延所作靡靡之音出桑閒濮上續漢書云靈帝胡服作箜篌也	hʊŋ55	hung1	hœŋ53	hoeng1
178	崆	溪	東	通	開	一	平	O	苦紅	2	崆峒	hʊŋ55	hung1	hœŋ53	hoeng1
179	椌	溪	東	通	開	一	平	O	苦紅	2	器物朴也又丘江切	hʊŋ55	hung1	hœŋ53	hoeng1
180	硿	溪	東	通	開	一	平	O	苦紅	1	硿青色石也	hʊŋ55	hung1	hœŋ53	hoeng1
181	䅝	溪	東	通	開	一	平	O	苦紅	1	稻稈	hʊŋ55	hung1	hœŋ53	hoeng1
182	悾	溪	東	通	開	一	平	O	苦紅	3	悾悾信也愨也	hʊŋ55	hung1	hœŋ53	hoeng1
183	埪	溪	東	通	開	一	平	O	苦紅	1	土埪龕也	hʊŋ55	hung1	hœŋ53	hoeng1
184	倥	溪	東	通	開	一	平	O	苦紅	3	倥侗	hʊŋ55	hung1	hœŋ53	hoeng1
185	涳	溪	東	通	開	一	平	O	苦紅	3	涳濛小雨又口江切	hʊŋ55	hung1	hœŋ53	hoeng1
186	鵼	溪	東	通	開	一	平	O	苦紅	1	怪鳥出字統	hʊŋ55	hung1	hœŋ53	hoeng1
187	𦱇	溪	東	通	開	一	平	O	苦紅	1	𦱇心草也	hʊŋ55	hung1	hœŋ53	hoeng1
188	𢃐	溪	東	通	開	一	平	O	苦紅	1	衣袂	hʊŋ55	hung1	hœŋ53	hoeng1
189	𧌆	溪	東	通	開	一	平	O	苦紅	1	蟬脫𧌆皮	hʊŋ55	hung1	hœŋ53	hoeng1
190	公	見	東	通	開	一	平	O	古紅	1	通也父也正也共也官也三公論道又公者無私也從八從厶厶音私八背意也背厶爲公也亦姓漢有主爵都尉公儉又漢複姓八十五氏左傳魯有公冉務人公斂陽公何藐公父歜公賓庚公思展公鉏極公甲叔子費宰公山弗櫌公甲叔公巫召伯衛有公	kʊŋ55	gung1	kœŋ53	goeng1
191	功	見	東	通	開	一	平	O	古紅	1	功績也說文曰以勞定國曰功又漢複姓何氏姓苑云漢營陵令成功恢禹治水告成功後爲氏俗作㓛	kʊŋ55	gung1	kœŋ53	goeng1
192	工	見	東	通	開	一	平	O	古紅	1	官也又工巧也	kʊŋ55	gung1	kœŋ53	goeng1
193	疘	見	東	通	開	一	平	O	古紅	1	文字集略云脫疘下部病也	kʊŋ55	gung1	kœŋ53	goeng1
194	蚣	見	東	通	開	一	平	O	古紅	2	蜈蚣蟲	kʊŋ55	gung1	kœŋ53	goeng1
195	玒	見	東	通	開	一	平	O	古紅	2	王名又音江	kʊŋ55	gung1	kœŋ53	goeng1
