tab_id	word	word_note	page	old_jp	old_jp_type	old_jp_note	expl	ipa	jyutping
168	查|査		P9	꜁ch‘á				tʃʰa21	chaa4
169	詫		P9	ch‘á꜄				tʃʰa33	chaa3
170	吒|咤		P9	ch‘á꜄				tʃʰa33	chaa3
171	奼		P9	ch‘á꜄				tʃʰa33	chaa3
172	蜡		P9	ch‘á꜄				tʃʰa33	chaa3
173	擠		P9	꜀chai			A colloquial word. To place, to put down, to put by; [꜀chai ꜁mái], put it aside; [꜀chai ꜀pín ch‘ü꜄], where shall I put it? [꜀chai ꜀pín ch‘ü꜄ ꜀tò ꜂hò], put in it down anywhere.	tʃɐi55	zhai1
174	晣		P9	chai꜄				tʃɐi33	zhai3
175	制		P9	chai꜄				tʃɐi33	zhai3
176	製		P9	chai꜄				tʃɐi33	zhai3
177	掣		P10	chai꜄				tʃɐi33	zhai3
178	滯		P10	chai꜅				tʃɐi22	zhai6
179	齋|斋		P10	꜀chái				tʃai55	zhaai1
180	齊		P10	꜀chái				tʃai55	zhaai1
181	債		P10	chái꜄				tʃai33	zhaai3
182	寨|砦		P10	chái꜅				tʃai22	zhaai6
183	豸		P10	chái꜅				tʃai22	zhaai6
184	豸		P10	꜂chí				tʃi35	zhi2
185	差		P11	꜀ch‘ái				tʃʰai55	chaai1
186	釵		P11	꜀ch‘ái				tʃʰai55	chaai1
187	猜		P11	꜀ch‘ái				tʃʰai55	chaai1
188	柴		P11	꜁ch‘ái				tʃʰai21	chaai4
189	儕		P11	꜁ch‘ái				tʃʰai21	chaai4
190	豺		P11	꜁ch‘ái				tʃʰai21	chaai4
191	踹		P11	꜂ch‘ái				tʃʰai35	chaai2
192	踹		P11	꜀tün	Also pronunced/read			tyn55	dyun1
193	蠆		P11	ch‘ái꜄				tʃʰai33	chaai3
194	瘵		P11	ch‘ái꜄				tʃʰai33	chaai3
195	嘬		P11	ch‘ái꜄				tʃʰai33	chaai3
196	嘬		P11	shái꜄				ʃai33	shaai3
197	仄		P12	chak꜆				tʃɐk5	zhak7
198	昃		P12	chak꜆				tʃɐk5	zhak7
199	簀		P12	chak꜆				tʃɐk5	zhak7
200	簀		P12	chái꜄				tʃai33	zhaai3
201	賾		P12	chak꜆				tʃɐk5	zhak7
202	側		P12	chak꜆				tʃɐk5	zhak7
203	測		P12	ch‘ak꜆				tʃʰɐk5	chak7
204	惻		P12	ch‘ak꜆				tʃʰɐk5	chak7
205	責		P12	chák꜆				tʃak5(3)	zhaak7°
206	窄		P12	chák꜆				tʃak5(3)	zhaak7°
207	笮		P12	chák꜆				tʃak5(3)	zhaak7°
208	舴		P13	chák꜆				tʃak5(3)	zhaak7°
209	澤		P13	chák꜇				tʃak2	zhaak8
210	擇		P13	chák꜇				tʃak2	zhaak8
211	擲		P13	chák꜇				tʃak2	zhaak8
212	摘	又音見於其後之「翟」字條	P13	chák꜇				tʃak2	zhaak8
213	摘		P13	t‘ik꜆	Also pronunced/read			tʰɪk5	tik7
214	翟		P13	chák꜇				tʃak2	zhaak8
215	翟		P13	t‘ik꜆	Also pronunced/read			tʰɪk5	tik7
216	擢		P13	chák꜇				tʃak2	zhaak8
217	宅		P13	chák꜇				tʃak2	zhaak8
218	𧓸		P13	chák꜇				tʃak2	zhaak8
219	躑		P13	chák꜇				tʃak2	zhaak8
220	謫|讁		P13	chák꜇				tʃak2	zhaak8
221	策		P13	ch‘ák꜆				tʃʰak5(3)	chaak7°
222	茦		P14	ch‘ák꜆				tʃʰak5(3)	chaak7°
223	册|冊		P14	ch‘ák꜆				tʃʰak5(3)	chaak7°
224	栅|柵		P14	ch‘ák꜆				tʃʰak5(3)	chaak7°
225	拆		P14	ch‘ák꜆				tʃʰak5(3)	chaak7°
226	坼		P14	ch‘ák꜆				tʃʰak5(3)	chaak7°
227	針|鍼		P14	꜀cham				tʃɐm55	zham1
228	箴		P14	꜀cham				tʃɐm55	zham1
229	砧|碪		P14	꜀cham				tʃɐm55	zham1
230	斟		P14	꜀cham				tʃɐm55	zham1
231	椹		P14	꜀cham			Used for [꜁sham] 葚, the mulberry seed. An ax or bill; a staff	tʃɐm55	zham1
232	枕		P14	꜂cham				tʃɐm35	zham2
233	枕		P14	cham꜄	Also pronunced/read	As a verb also read		tʃɐm33	zham3
234	怎		P15	꜂cham				tʃɐm35	zham2
235	浸		P15	cham꜄			A colloquial word. A coat, as of paint; a thickness, an envelop, a skin; [ts‘at꜆ ꜀sám cham꜄] varnished it three times; [mok꜆ yat꜆ cham꜄ ꜁p‘í], pull off one covering	tʃɐm33	zham3
236	朕		P15	cham꜅				tʃɐm22	zham6
237	沉|沈		P15	꜁ch‘am				tʃʰɐm21	cham4
238	霃		P15	꜁ch‘am				tʃʰɐm21	cham4
239	𩵫		P15	꜂ch‘am				tʃʰɐm35	cham2
240	譖		P15	ch‘am꜄				tʃʰɐm33	cham3
241	讖		P15	ch‘am꜄			To verify, to prove; a prognostic; to fulfill; [ch‘am꜄ ꜃ü], a prophecy, a hidden meaning; [ch‘am꜄ hí꜄] tiresome, talkative; [ch‘am꜄ ꜂wai], to agree with the prophecy.	tʃʰɐm33	cham3
242	斬		P15	꜂chám				tʃam35	zhaam2
243	湛		P16	chám꜄				tʃam33	zhaam3
244	蘸		P16	chám꜄			ya/m5#V	tʃam33	zhaam3
245	賺		P16	chám꜅				tʃam22	zhaam6
246	站		P16	chám꜅				tʃam22	zhaam6
247	攙		P16	꜁ch‘ám				tʃʰam21	chaam4
248	杉		P16	ch‘ám꜄				tʃʰam33	chaam3
249	懺		P16	ch‘ám꜄				tʃʰam33	chaam3
250	儳		P16	ch‘ám꜄				tʃʰam33	chaam3
251	眞|真		P16	꜀chan				tʃɐn55	zhan1
252	珍		P16	꜀chan				tʃɐn55	zhan1
253	甄		P16	꜀chan				tʃɐn55	zhan1
254	甄		P16	꜀yan	Often read in Canton			jɐn55	jan1
255	振		P17	chan꜄				tʃɐn33	zhan3
256	震		P17	chan꜄				tʃɐn33	zhan3
257	賑		P17	chan꜄				tʃɐn33	zhan3
258	賑		P17	꜂chan				tʃɐn35	zhan2
259	鎭|鎮		P17	chan꜄				tʃɐn33	zhan3
260	侲		P17	chan꜄				tʃɐn33	zhan3
261	帪		P17	chan꜄				tʃɐn33	zhan3
262	陣|陳		P17	chan꜅				tʃɐn22	zhan6
263	嗔		P17	꜀ch‘an				tʃʰɐn55	chan1
264	嗔		P17	꜁t‘ín				tʰin21	tin4
265	瞋		P18	꜀ch‘an				tʃʰɐn55	chan1
266	陳		P18	꜁ch‘an				tʃʰɐn21	chan4
267	蔯		P18	꜁ch‘an				tʃʰɐn21	chan4
268	塵		P18	꜁ch‘an				tʃʰɐn21	chan4
269	矧		P18	꜂ch‘an				tʃʰɐn35	chan2
270	疹|疢		P18	꜂ch‘an				tʃʰɐn35	chan2
271	哂		P18	꜂ch‘an				tʃʰɐn35	chan2
272	畛		P18	꜂ch‘an				tʃʰɐn35	chan2
273	紾		P18	꜂ch‘an				tʃʰɐn35	chan2
274	袗		P18	꜂ch‘an				tʃʰɐn35	chan2
275	診		P18	꜂ch‘an				tʃʰɐn35	chan2
276	軫		P18	꜂ch‘an				tʃʰɐn35	chan2
277	縝		P18	꜂ch‘an				tʃʰɐn35	chan2
278	鬒		P18	꜂ch‘an				tʃʰɐn35	chan2
279	襯		P18	ch‘an꜄				tʃʰɐn33	chan3
280	櫬		P19	ch‘an꜄				tʃʰɐn33	chan3
281	齔		P19	ch‘an꜄				tʃʰɐn33	chan3
282	趁|趂		P19	ch‘an꜄				tʃʰɐn33	chan3
283	盞		P19	꜂chán				tʃan35	zhaan2
284	琖		P19	꜂chán				tʃan35	zhaan2
285	醆		P19	꜂chán				tʃan35	zhaan2
286	饌		P19	chán꜅				tʃan22	zhaan6
287	撰		P19	chán꜅				tʃan22	zhaan6
288	撰		P19	꜂sün				syn35	syun2
289	撰		P19	sün꜄				syn33	syun3
290	譔		P19	chán꜅				tʃan22	zhaan6
291	站		P19	chán꜅				tʃan22	zhaan6
292	棧		P19	chán꜅				tʃan22	zhaan6
293	輚		P19	chán꜅				tʃan22	zhaan6
294	虥		P19	chán꜅				tʃan22	zhaan6
295	綻		P19	chán꜅				tʃan22	zhaan6
296	贃		P20	chán꜅			An unauthorized word. To profit, to make gain in trade; [chán꜅ ꜁ts‘ín], to make money; [꜀to chán꜅] profitable; [꜃mò tak꜆ chán꜅] no profit;…	tʃan22	zhaan6
297	贃		P20	꜃wán			To sell goods at a profit	wan13	waan5
298	產|産		P20	꜂ch‘án				tʃʰan35	chaan2
299	嵼		P20	꜂ch‘án				tʃʰan35	chaan2
300	剷|剗		P20	꜂ch‘án				tʃʰan35	chaan2
301	鏟		P20	꜂ch‘án				tʃʰan35	chaan2
302	棖		P20	꜃ch‘án			A colloquial word. A door sill; a threshold; [꜃k‘í ꜁mún ꜃ch‘án], standing in the door-way.	tʃʰan13	chaan5
303	箏|筝		P20	꜀chang				tʃɐŋ55	zhang1
304	凈|净|浄|淨		P20	꜀chang			Cold, shivering. Incorrectly but commonly used for 淨 [tsing꜅] clean	tʃɐŋ55	zhang1
305	棦		P20	꜀chang				tʃɐŋ55	zhang1
306	琤		P20	꜀chang				tʃɐŋ55	zhang1
307	錚		P20	꜀chang				tʃɐŋ55	zhang1
308	諍		P20	chang꜄				tʃɐŋ33	zhang3
309	爭|争		P20	꜀cháng				tʃaŋ55	zhaang1
310	㬹		P21	꜀cháng				tʃaŋ55	zhaang1
311	崢|峥		P21	꜀cháng				tʃaŋ55	zhaang1
312	掙		P21	cháng꜅				tʃaŋ22	zhaang6
313	掙		P21	꜀ch‘áng			to pierce, to stab	tʃʰaŋ55	chaang1
314	掙		P21	chang꜄			to file	tʃɐŋ33	zhang3
315	撐|撑		P21	꜀ch‘áng				tʃʰaŋ55	chaang1
316	橕|𣛟		P21	꜀ch‘áng				tʃʰaŋ55	chaang1
317	橕|𣛟		P21	ch‘áng꜄				tʃʰaŋ33	chaang3
318	橙		P21	꜁ch‘áng				tʃʰaŋ21	chaang4
319	倀		P21	꜁ch‘áng			Groping, going blindly; madly, carelessly; to fall down; [꜁ch‘áng ꜂kwai], a lates eaten by a tiger, *met.* one who entices to evil courses	tʃʰaŋ21	chaang4
320	執		P22	chap꜆				tʃɐp5	zhap7
321	縶		P22	chap꜆				tʃɐp5	zhap7
322	汁		P22	chap꜆				tʃɐp5	zhap7
323	汁		P22	híp꜇				hip2	hip8
324	劄		P22	cháp꜆				tʃap5(3)	zhaap7°
325	閘		P22	cháp꜇				tʃap2	zhaap8
326	鈒		P22	cháp꜇				tʃap2	zhaap8
327	鈒		P22	sáp꜆				sap5(3)	saap7°
328	极		P22	cháp꜇				tʃap2	zhaap8
329	极		P22	k‘ap꜆				kʰɐp5	kap7
330	挿|鍤|插|揷	「鍤」在釋義出現，作為 “an iron pointed pole used to carry sheaves, or pry up clods” 之異體	P23	ch‘áp꜆				tʃʰap5(3)	chaap7°
331	扱		P23	ch‘áp꜆				tʃʰap5(3)	chaap7°
332	郅		P23	chat꜆				tʃɐt5	zhat7
333	質		P23	chat꜆				tʃɐt5	zhat7
334	鑕		P23	chat꜆				tʃɐt5	zhat7
335	𨽥|隲|騭		P23	chat꜆				tʃɐt5	zhat7
336	只		P23	chat꜆				tʃɐt5	zhat7
337	只		P23	꜂chí				tʃi35	zhi2
338	枳		P23	chat꜆				tʃɐt5	zhat7
339	窒		P23	chat꜇				tʃɐt2	zhat8
340	姪		P24	chat꜇				tʃɐt2	zhat8
341	蟄		P24	chat꜇				tʃɐt2	zhat8
342	咥		P24	chat꜇				tʃɐt2	zhat8
343	咥		P24	꜀hí				hi55	hi1
344	桎		P24	chat꜇				tʃɐt2	zhat8
345	挃		P24	chat꜇				tʃɐt2	zhat8
346	蛭		P24	chat꜇				tʃɐt2	zhat8
347	扎		P24	chát꜆				tʃat5(3)	zhaat7°
348	札		P24	chát꜆				tʃat5(3)	zhaat7°
349	軋		P24	chát꜆				tʃat5(3)	zhaat7°
350	茁		P24	chát꜆				tʃat5(3)	zhaat7°
351	察		P24	ch‘át꜆				tʃʰat5(3)	chaat7°
352	刹|剎		P24	ch‘át꜆				tʃʰat5(3)	chaat7°
353	獺		P24	ch‘át꜆				tʃʰat5(3)	chaat7°
354	周		P25	꜀chau				tʃɐu55	zhau1
355	週		P25	꜀chau				tʃɐu55	zhau1
356	賙		P25	꜀chau				tʃɐu55	zhau1
357	輖		P25	꜀chau				tʃɐu55	zhau1
358	侜		P25	꜀chau				tʃɐu55	zhau1
359	舟		P25	꜀chau				tʃɐu55	zhau1
360	輈		P25	꜀chau				tʃɐu55	zhau1
361	州		P25	꜀chau				tʃɐu55	zhau1
362	洲		P25	꜀chau				tʃɐu55	zhau1
363	譸		P25	꜀chau				tʃɐu55	zhau1
364	肘		P25	꜂chau				tʃɐu35	zhau2
365	帚|箒		P25	꜂chau				tʃɐu35	zhau2
366	晝		P26	chau꜄				tʃɐu33	zhau3
367	咒|呪		P26	chau꜄				tʃɐu33	zhau3
368	咮		P26	chau꜄				tʃɐu33	zhau3
369	咮		P26	꜀chü				tʃy55	zhyu1
370	宙		P26	chau꜅				tʃɐu22	zhau6
371	胄		P26	chau꜅				tʃɐu22	zhau6
372	冑		P26	chau꜅				tʃɐu22	zhau6
373	紂		P26	chau꜅				tʃɐu22	zhau6
374	籀		P26	chau꜅				tʃɐu22	zhau6
375	酎		P26	chau꜅				tʃɐu22	zhau6
376	抽		P26	꜀ch‘au				tʃʰɐu55	chau1
377	篘		P26	꜀ch‘au				tʃʰɐu55	chau1
378	瘳		P26	꜀ch‘au				tʃʰɐu55	chau1
379	讐|仇		P26	꜁ch‘au				tʃʰɐu21	chau4
380	酬|酧		P27	꜁ch‘au				tʃʰɐu21	chau4
381	幬		P27	꜁ch‘au				tʃʰɐu21	chau4
382	椆		P27	꜁ch‘au				tʃʰɐu21	chau4
383	裯		P27	꜁ch‘au				tʃʰɐu21	chau4
384	裯		P27	꜀tò				tou55	dou1
385	疇		P27	꜁ch‘au				tʃʰɐu21	chau4
386	儔		P27	꜁ch‘au				tʃʰɐu21	chau4
387	紬		P27	꜁ch‘au				tʃʰɐu21	chau4
388	綢		P27	꜁ch‘au				tʃʰɐu21	chau4
389	綢		P27	꜀t‘ò				tʰou55	tou1
390	惆		P27	꜁ch‘au				tʃʰɐu21	chau4
391	稠		P27	꜁ch‘au				tʃʰɐu21	chau4
392	躊		P27	꜁ch‘au				tʃʰɐu21	chau4
393	犨		P28	꜁ch‘au				tʃʰɐu21	chau4
394	籌		P28	꜁ch‘au				tʃʰɐu21	chau4
395	丑		P28	꜂ch‘au				tʃʰɐu35	chau2
396	醜		P28	꜂ch‘au				tʃʰɐu35	chau2
397	𧽒		P28	꜃ch‘au				tʃʰɐu13	chau5
398	𧽒		P28	ch‘au꜄				tʃʰɐu33	chau3
399	臭		P28	ch‘au꜄				tʃʰɐu33	chau3
400	嗅		P28	ch‘au꜄				tʃʰɐu33	chau3
401	糗		P28	ch‘au꜄				tʃʰɐu33	chau3
402	嘲		P28	꜀cháu				tʃau55	zhaau1
403	啁		P28	꜀cháu				tʃau55	zhaau1
404	啁		P28	꜀tò				tou55	dou1
405	爪		P29	꜂cháu				tʃau35	zhaau2
406	抓		P29	꜂cháu				tʃau35	zhaau2
407	找		P29	꜂cháu				tʃau35	zhaau2
408	找		P29	꜁wá				wa21	waa4
409	𦋐|罩		P29	cháu꜄				tʃau33	zhaau3
410	笊		P29	cháu꜄				tʃau33	zhaau3
411	𦻐		P29	cháu꜄				tʃau33	zhaau3
412	踔		P29	cháu꜄				tʃau33	zhaau3
413	踔		P29	ch‘éuk꜆				tʃʰœk5(3)	choek7°
